Scenario,λ*,Failure Reason,Failure λ,Final V_min (p.u.),Final V_max (p.u.),Final ρ_max (%),Overloaded Lines,Undervoltage Buses
N-1_line_17,1.0,Thermal limits violated,1.0,0.9922304749488831,1.0032804012298584,179.8295259475708,2,0
N-1_line_9,1.0,Thermal limits violated,1.0,0.9318299293518066,1.0016001462936401,300.400972366333,2,0
N-1_line_15,1.0,Thermal limits violated,1.0,0.9937095642089844,1.0118952989578247,100.35927295684814,1,0
N-1_line_8,1.0,Thermal limits violated,1.0,0.965179443359375,1.0043350458145142,119.85030174255371,2,0
N-1_line_19,1.0,Thermal limits violated,1.0,0.9746702313423157,1.0053313970565796,100.44751167297363,1,0
N-1_line_18,1.0,Power flow did not converge,1.0,,,,0,0
N-1_line_7,1.0149999999999997,Thermal limits violated,1.0199999999999996,0.9449909329414368,1.0,100.33301115036011,1,0
N-1_line_13,1.184999999999996,Thermal limits violated,1.189999999999996,0.9839224219322205,1.0027422904968262,100.02588033676147,1,0
base_case,1.2449999999999948,Thermal limits violated,1.2499999999999947,0.9783129692077637,1.0,100.2545714378357,1,0
N-1_line_16,1.2549999999999946,Thermal limits violated,1.2599999999999945,0.9794443845748901,1.0,100.15727281570435,1,0
N-1_line_4,1.2599999999999945,Thermal limits violated,1.2649999999999944,0.9759301543235779,1.0,100.21350383758545,1,0
